Parent Cell,parent_x,parent_y,parent_z,Daughter 1,Daughter 2,Birth Time
MSppap,374.3145739,262.0592886,14.51867196,MSppapa,MSppapp,190
MSpppa,387.8519285,256.4474587,14.48282571,MSpppap,MSpppaa,195
MSpppp,414.6258203,256.9632383,14.65372928,MSppppa,MSppppp,195
ABalaapaa,203.2472842,262.8950245,14.79661781,ABalaapaap,ABalaapaaa,240
ABalaapap,227.5126367,268.3756995,14.76465752,ABalaapapp,ABalaapapa,240
ABalaappa,223.3653471,269.3376868,15.1536515,ABalaappaa,ABalaappap,240
ABalaappp,246.5837607,270.8104216,15.26798989,ABalaapppp,ABalaapppa,220
ABalapaaa,202.5733013,250.3098059,15.48223028,ABalapaaaa,ABalapaaap,215
ABalapaap,218.4482887,245.3479069,15.50168297,ABalapaapp,ABalapaapa,215
ABalapapa,231.3168415,252.6477705,15.68705704,ABalapapaa,ABalapapap,215
ABalapapp,266.4525521,250.358339,15.44950959,ABalapappp,ABalapappa,210
ABalappaa,204.9420123,258.7692869,15.49742025,ABalappaaa,ABalappaap,240
ABalappap,228.366164,263.5831401,15.46353012,ABalappapp,ABalappapa,215
ABalapppa,256.1701712,265.6557748,15.48369957,ABalapppaa,ABalapppap,213
ABalpappa,261.7485018,241.1823568,14.62024044,ABalpappap,ABalpappaa,217
ABalpappp,294.0069703,241.9152081,14.44660857,ABalpapppa,ABalpapppp,215
ABalppaaa,216.950005,236.8682618,15.25964386,ABalppaaap,ABalppaaaa,237
ABalppaap,236.4428431,232.027459,15.19631279,ABalppaapa,ABalppaapp,230
ABalppapa,254.5924837,233.8286718,14.92245102,ABalppapap,ABalppapaa,220
ABalpppap,262.685529,234.4712775,15.36754346,ABalpppapa,ABalpppapp,225
ABaraaaap,224.5005156,257.196488,14.91723996,ABaraaaapa,ABaraaaapp,250
ABarapapa,297.7603647,260.8721267,14.63695654,ABarapapap,ABarapapaa,215
ABarapapp,327.1134725,258.7916715,14.48922464,ABarapappp,ABarapappa,210
ABarappaa,295.637735,265.9298162,14.69827809,ABarappaaa,ABarappaap,228
ABarappap,328.3410838,266.2012889,14.54864717,ABarappapp,ABarappapa,220
ABarapppa,299.7410895,270.7511562,14.72465975,ABarapppap,ABarapppaa,220
ABarapppp,330.9340136,271.6127943,14.63902409,ABarappppp,ABarappppa,218
ABarpaaaa,230.9854344,259.7703629,15.88516009,ABarpaaaap,ABarpaaaaa,240
ABarpaaap,258.3792251,261.6409993,15.8850886,ABarpaaapa,ABarpaaapp,240
ABarpaapa,285.4664337,263.568031,15.51610952,hyp7,hyp6,225
ABarpaapp,331.4146965,264.7105233,15.36004579,hyp7,hyp7,215
ABarpapaa,255.4585618,272.6772112,15.63729573,ABarpapaaa,ABarpapaap,235
ABarpapap,287.4703217,273.2901241,15.52923091,hyp4,hyp6,230
ABarpappa,308.4653583,277.0823115,15.63934691,hyp5,XXXR,240
ABarpappp,339.3578668,275.9043993,15.40221563,H1R,H0R,225
ABarppaaa,341.5585724,254.658611,15.61128925,ADEshL,H2L,235
ABarppaap,376.5314899,252.2288473,15.41277782,hyp7,ABarppaapp,230
ABarppapa,401.0825791,246.2469338,15.44071915,V1L,V2L,230
ABarppapp,445.1155319,244.9025483,15.52236128,V6L,V4L,230
ABarpppaa,359.1439154,271.5220576,15.63986996,ADEshR,H2R,235
ABarpppap,391.3235897,270.3303663,15.48730851,hyp7,ABarpppapp,230
ABarppppa,416.1873162,273.0072617,15.44336804,V1R,V2R,230
ABarppppp,456.311765,270.5480223,15.57977602,V6R,V4R,230
ABplaaaaa,231.3299039,247.7630856,15.86905085,ABplaaaaaa,ABplaaaaap,235
ABplaaaap,259.910291,250.078412,15.75911666,hyp6,hyp6,230
ABplaaapa,284.5702009,248.8360926,15.76392679,XXXL,hyp5,240
ABplaaapp,317.6957753,247.8713866,15.50349386,H1L,H0L,225
ABalaaaala,0,0,0,ABalaaaalar,AINL,325
ABalaaaalp,0,0,0,ABalaaaalpa,ILshL,317
ABalaaaarl,0,0,0,ABalaaaarla,RMEL,310
ABalaaaarr,0,0,0,RMER,ABalaaaarra,310
ABalaaapal,0,0,0,AVDL,ILsoL,285
ABalaaapar,0,0,0,ILshDL,ABalaaaparl,295
ABalaaappl,0,0,0,ABalaaapplr,ILshDR,295
ABalaaappr,0,0,0,ILsoR,AVDR,285
ABalaapaaa,201.6139022,264.9525506,14.81977187,ABalaapaaal,AINR,325
ABalaapaap,227.3731129,268.8921606,14.63111003,ABalaapaapa,ILshR,317
ABalaapapp,249.8714559,274.6596987,14.73154928,ABalaapappa,CEPsoVR,295
ABalaappap,225.2695963,272.6323597,14.99799177,OLQsoVR,AVAR,295
ABalaapppa,211.0432323,272.0702231,15.34383377,RIAR,ABalaapppap,310
ABalaapppp,231.1036056,275.0394039,15.46519985,ABalaappppa,IL2R,290
ABalapaaaa,188.9576708,247.22387,15.27418265,AVHL,ABalapaaaap,335
ABalapaaap,203.0772302,244.8236519,15.6341269,CANL,OLLsoL,290
ABalapaapa,203.0554224,239.9080251,15.42731863,RIAL,ABalapaapap,317
ABalapaapp,221.0264685,236.9083539,15.46490163,ABalapaappa,IL2L,285
ABalapaappa,124.7777778,191.9722222,15.78888889,IL1L,ABalapaappap,397
ABalapapap,223.3053688,249.1194049,15.76987221,URYDL,ABalapapapa,285
ABalapappa,243.1074538,242.0160682,15.61049043,ABalapappaa,IL2DL,280
ABalapappaa,158.2085369,239.2783326,15.85836566,IL1DL,ABalapappaap,390
ABalapappp,274.2699839,242.3573818,15.60541691,AVJL,CEPsoDL,290
ABalappaap,196.3190119,258.1782474,15.60735169,ABalappaapp,RID,340
ABalappapa,196.3375029,268.1744398,15.47599257,ABalappapap,AVHR,325
ABalappapp,212.9576913,272.3608747,15.63108517,CANR,OLLsoR,290
ABalapppaa,213.5307424,264.7664512,15.74956041,ALA,RMED,303
ABalapppap,236.8090727,268.1485681,15.88098187,URYDR,ABalapppapa,285
ABalappppa,256.3685272,272.7973409,15.60157208,IL2DR,ABalappppaa,280
ABalappppaa,152.4097402,268.3349206,15.34593795,IL1DR,ABalappppaap,390
ABalappppp,287.0524126,273.139004,15.60608973,CEPsoDR,AVJR,290
ABalpaaaaa,212.8527472,245.8930727,14.59358376,m2VL,e3VL,320
ABalpaaaap,238.7198959,246.4375152,14.55283716,m1VL,ABalpaaaapp,320
ABalpaaapa,243.9557347,242.4653997,14.61057114,m2L,ABalpaaapap,342
ABalpaaapp,265.482794,242.7429345,14.61010345,MCL,ABalpaaappa,337
ABalpaapaa,200.9307069,248.1684192,14.68317312,e2DL,arc post DL,300
ABalpaapap,225.9461578,242.6079001,14.72249712,mc1DL,m3L,280
ABalpaappa,214.9091587,236.1363209,14.66821827,arc post VL,arc ant DL,305
ABalpaappp,239.923476,234.0404435,14.66292331,hyp1DL,hyp2DL,295
ABalpapaaa,240.1537569,236.9291573,14.3745709,RIPL,hyp2V,285
ABalpapaap,265.1687058,237.3026143,14.28952286,ABalpapaapp,arc ant V,310
ABalpapapa,279.0406834,232.2116487,14.4150739,RMDDL,ABalpapapap,285
ABalpapapap,279.257716,200.8518519,7.757407407,SMBDL,ABalpapapapa,390
ABalpapapp,306.1323315,231.5785932,14.33661187,SMBVL,ABalpapappa,305
ABalpappaa,266.8572495,242.0998912,14.46923502,ABalpappaap,ABalpappaaa,295
ABalpappaap,233.2055556,245.6092593,10.70444445,ABalpappaapp,I2L,385
ABalpappap,292.2712292,240.5230265,14.02851415,mc3V,e2V,270
ABalpapppa,289.2370435,243.0512549,14.41772311,ABalpapppap,I1L,318
ABalpapppp,320.2683895,241.7601893,14.29521197,mc1V,m3VL,258
ABalppaaap,212.3237875,231.6039225,15.06004307,AVAL,OLQsoVL,295
ABalppaapp,243.5939562,224.9483348,15.00085446,CEPsoVL,ABalppaappa,305
ABalppapaa,241.0974363,227.886964,14.71171128,RMDVL,ILshVL,300
ABalppapap,265.0221872,228.8378876,14.56755256,SAADL,ILsoVL,292
ABalppappa,276.2856908,227.0413941,14.48644951,BAGL,SMDVL,290
ABalppappp,303.680285,225.3431933,14.60046487,IL2VL,ABalppapppa,285
ABalppapppa,243.4397778,220.2955556,11.4443,IL1VL,ABalppapppap,410
ABalpppaaa,220.9052029,226.905043,15.30700893,AVEL,OLQshVL,315
ABalpppaap,231.9203246,226.2306738,15.58593104,OLLshL,ABalpppaapv,320
ABalpppapa,244.7220789,223.5517,15.17732461,RMDL,AFDL,305
ABalpppapp,263.8802629,223.0403708,15.37460802,ABalpppappa,ABalpppappp,285
ABalpppappp,196.8008621,134.9952299,17.43405172,ASKL,ABalpppapppp,375
ABalppppaa,246.5925636,232.6381989,15.29343595,ABalppppaav,ADLL,290
