x,y,z,min_size,max_size,cell,mother
-65.42724916352141,15.205105739160981,0.4907201169988306,24.0,38.0,ABalaapapa,ABalaapap
-60.00995593043871,16.558489197807596,0.5264344027131165,26.0,38.0,ABalaapapp,ABalaapap
-50.02457335635644,-17.711988466942508,0.08430923685730034,31.0,54.0,ABalaapp,ABalaap
-97.1308581860778,1.6873613782587393,-0.08825732661019198,26.0,46.0,ABalaappa,ABalaapp
-93.46053359411007,6.295789766302005,0.40095301632030517,24.0,38.0,ABalaappaa,ABalaappa
-83.85426181710659,5.734814156545908,0.03440249367222143,26.0,38.0,ABalaappap,ABalaappa
-81.41973900882432,1.8014327636186858,0.15848435518049162,26.0,47.0,ABalaappp,ABalaapp
-105.79126700629347,7.167477264304121,0.37342688391612394,26.0,38.0,ABalaapppa,ABalaappp
-92.5588511041528,5.641483380512072,0.37740241908431954,26.0,40.0,ABalaapppp,ABalaappp
-98.53756250051195,21.13932433285552,-0.25404092724267446,34.0,73.0,ABalap,ABala
-100.55582600129932,17.713381825059184,-0.2557098067313581,34.0,61.0,ABalapa,ABalap
-111.278605081406,9.891217084941166,-0.13191019473556148,31.0,55.0,ABalapaa,ABalapa
-121.82659732602748,-7.9337262680920775,0.33974705023629015,26.0,48.0,ABalapaaa,ABalapaa
-114.91533557673752,-13.582038176967364,0.12237054588795483,26.0,37.0,ABalapaaaa,ABalapaaa
-103.80265952039952,-12.5785170502068,0.598426883916124,26.0,38.0,ABalapaaap,ABalapaaa
-114.47517088656492,-15.397747330307267,0.33663230152334744,26.0,48.0,ABalapaap,ABalapaa
-101.36039725113174,-23.398195993431365,-0.09241162540064637,26.0,38.0,ABalapaapa,ABalapaap
-91.02188793436154,-26.82055624187857,0.24796104540680688,26.0,38.0,ABalapaapp,ABalapaap
-82.61541216922298,15.656653793587079,-0.1622226629116709,33.0,55.0,ABalapap,ABalapa
-100.82721379903656,-10.183942033645264,0.11657616816970263,26.0,47.0,ABalapapa,ABalapap
-109.71270116561966,-2.543364273078918,0.9764169171387154,24.0,38.0,ABalapapaa,ABalapapa
-97.29409651445688,-13.383895834540711,0.37608469122509425,26.0,38.0,ABalapapap,ABalapapa
-70.97076072019087,-18.691127900493708,-0.3258786716394316,27.0,49.0,ABalapapp,ABalapap
-83.59123454597194,-28.603164937530742,0.11365034760327493,26.0,41.0,ABalapappa,ABalapapp
-59.73369264653061,-25.99422639004471,-0.18243903787158547,26.0,40.0,ABalapappp,ABalapapp
-72.78183243019875,-0.6244415332754276,0.18087369242676202,38.0,61.0,ABalapp,ABalap
-69.71844590537604,3.6181892291359197,-0.5734481160838761,34.0,55.0,ABalappa,ABalapp
-121.5370108077075,-2.5332216483057937,-0.3074804884846323,26.0,47.0,ABalappaa,ABalappa
-112.077514532827,-7.1080668983150606,-0.515788802358386,24.0,37.0,ABalappaaa,ABalappaa
-106.80300472890546,-6.284537486550355,-0.5770633121623074,24.0,38.0,ABalappaap,ABalappaa
-100.1074610568912,2.6491077897419806,-0.25339129790205794,26.0,47.0,ABalappap,ABalappa
-119.41163418751484,14.779087622196219,-0.25046390106681116,26.0,41.0,ABalappapa,ABalappap
-109.06692428990394,12.994104687042634,-0.4931260171077669,26.0,38.0,ABalappapp,ABalappap
-29.565498750904496,4.183420428322912,-0.7875487258399738,31.0,55.0,ABalappp,ABalapp
-72.03392209585223,4.704870776754968,-0.2480016875124472,26.0,48.0,ABalapppa,ABalappp
-108.69529096891463,5.41736292170679,-0.0007666644709727791,26.0,40.0,ABalapppaa,ABalapppa
-89.55159595425191,12.91296409472732,-0.2567783946762512,26.0,40.0,ABalapppap,ABalapppa
-36.607461056891204,12.649107789741981,-0.934073116083876,26.0,48.0,ABalapppp,ABalappp
-73.02867751951167,24.520044231523702,-0.519123259350352,26.0,41.0,ABalappppa,ABalapppp
-46.28369184615925,25.620330764474993,-0.6592378725308676,26.0,43.0,ABalappppp,ABalapppp
-96.8776440185836,-26.974234119920677,0.5488985820293313,39.0,79.0,ABalp,ABal
-112.04324399641864,-27.44016934281709,0.6505193949293397,35.0,73.0,ABalpa,ABalp
-125.34719290777412,-18.12834479364585,-0.14599757651553077,41.0,61.0,ABalpaa,ABalpa
-129.02093298547942,-27.701356152001026,-0.1787694985128168,29.0,54.0,ABalpaaa,ABalpaa
-113.99348091938165,-6.252324601396293,0.2345613376976363,26.0,46.0,ABalpaaaa,ABalpaaa
-95.9453861089384,-9.347439746691048,0.7108314640687956,24.0,38.0,ABalpaaaaa,ABalpaaaa
-75.97592046008342,-11.381790891729217,0.6054879526184143,26.0,38.0,ABalpaaaap,ABalpaaaa
-97.72021144209924,-15.124351378208711,0.4016048500178187,26.0,46.0,ABalpaaap,ABalpaaa
-69.84454239660411,-9.565570952568342,0.5974870342920637,26.0,39.0,ABalpaaapa,ABalpaaap
-52.02499352442367,-10.99790177963601,0.561396808728154,26.0,38.0,ABalpaaapp,ABalpaaap
-117.7361046355348,-22.98729192165773,-0.4599064494172095,30.0,55.0,ABalpaap,ABalpaa
-124.36014437865848,-19.262198016411148,-0.2347156097225531,24.0,50.0,ABalpaapa,ABalpaap
