hyperedge_id,parent_cell,daughter_1,daughter_2,members,birth_time,parent_x,parent_y,parent_z,hyperedge_weight
LIN_0090,ABprpaa,ABprpaaa,ABprpaap,ABprpaa|ABprpaaa|ABprpaap,135,422.8970806,273.4220232,14.67746395,1.0
LIN_0091,ABprpap,ABprpapa,ABprpapp,ABprpap|ABprpapa|ABprpapp,135,457.251957,262.3020414,14.77928506,1.0
LIN_0092,ABprppa,ABprppaa,ABprppap,ABprppa|ABprppaa|ABprppap,140,488.7970901,271.8132003,14.91786912,1.0
LIN_0093,ABprppp,ABprpppp,ABprpppa,ABprppp|ABprpppp|ABprpppa,140,499.9163791,258.7957528,15.04657137,1.0
LIN_0094,Caaa,Caaap,Caaaa,Caaa|Caaap|Caaaa,165,384.2048717,260.3205223,15.35676517,1.0
LIN_0095,Caap,Caapp,Caapa,Caap|Caapp|Caapa,180,444.1258349,250.9021264,15.68253361,1.0
LIN_0096,Capa,Capaa,Capap,Capa|Capaa|Capap,185,439.2218713,244.3084387,15.53393672,1.0
LIN_0097,Capp,Cappa,Cappp,Capp|Cappa|Cappp,185,470.3793085,245.6898355,15.75751714,1.0
LIN_0098,Cpaa,Cpaap,Cpaaa,Cpaa|Cpaap|Cpaaa,170,457.101685,270.3026369,15.54642785,1.0
LIN_0099,Cpap,Cpapp,Cpapa,Cpap|Cpapp|Cpapa,175,484.7727468,256.1838534,15.72318073,1.0
LIN_0100,Cppa,Cppap,Cppaa,Cppa|Cppap|Cppaa,185,510.4786422,256.389901,15.185986,1.0
LIN_0101,Cppp,Cpppa,Cpppp,Cppp|Cpppa|Cpppp,185,496.3944013,246.0713246,15.51964029,1.0
LIN_0102,Daa,Daap,Daaa,Daa|Daap|Daaa,210,420.9223139,241.0410657,14.81265182,1.0
LIN_0103,Dap,Dapa,Dapp,Dap|Dapa|Dapp,200,450.4642904,240.7831752,14.8623927,1.0
LIN_0104,Dpa,Dpap,Dpaa,Dpa|Dpap|Dpaa,210,439.9610893,254.79203,14.74423211,1.0
LIN_0105,Dpp,Dppp,Dppa,Dpp|Dppp|Dppa,200,465.4561722,253.4554039,14.77279259,1.0
LIN_0106,Eala,int3V,Ealaa,Eala|int3V|Ealaa,230,328.39616,248.2203088,14.87451161,1.0
LIN_0107,Ealp,int5L,int2V,Ealp|int5L|int2V,230,363.7773217,245.4671312,14.77614013,1.0
LIN_0108,Eara,Earaa,int3D,Eara|Earaa|int3D,230,336.1564059,260.982254,14.76896916,1.0
