cell,fate,fate_id,method,purity,n_leaves,n_embryos
ABalppapaa,mixed,11,consensus,0.5,2,233
ABalppapap,mixed,11,consensus,0.5,2,233
ABalppapapa,neuron,0,exact,1.0,1,2
ABalppapapp,glia,5,exact,1.0,1,2
ABalppapappa,glia,5,ancestor,1.0,1,1
ABalppapappaa,glia,5,ancestor,1.0,1,1
ABalppapappap,glia,5,ancestor,1.0,1,1
ABalppapappapa,glia,5,ancestor,1.0,1,1
ABalppapappapp,glia,5,ancestor,1.0,1,1
ABalppapappappa,glia,5,ancestor,1.0,1,1
ABalppapappappaa,glia,5,ancestor,1.0,1,1
ABalppapappappap,glia,5,ancestor,1.0,1,1
ABalppapappappp,glia,5,ancestor,1.0,1,1
ABalppapappp,glia,5,ancestor,1.0,1,1
ABalppapp,neuron,0,consensus,1.0,4,257
ABalppappa,neuron,0,consensus,1.0,2,233
ABalppappaa,neuron,0,exact,1.0,1,3
ABalppappaaa,neuron,0,ancestor,1.0,1,1
ABalppappaaaa,neuron,0,ancestor,1.0,1,1
ABalppappaaap,neuron,0,ancestor,1.0,1,1
ABalppappaaapa,neuron,0,ancestor,1.0,1,1
ABalppappaaapp,neuron,0,ancestor,1.0,1,1
ABalppappaaappa,neuron,0,ancestor,1.0,1,1
ABalppappaaappaa,neuron,0,ancestor,1.0,1,1
ABalppappaaappaaa,neuron,0,ancestor,1.0,1,1
ABalppappaaappaap,neuron,0,ancestor,1.0,1,1
ABalppappaaappap,neuron,0,ancestor,1.0,1,1
ABalppappaaappp,neuron,0,ancestor,1.0,1,1
ABalppappaaapppa,neuron,0,ancestor,1.0,1,1
ABalppappaaapppp,neuron,0,ancestor,1.0,1,1
ABalppappaap,neuron,0,ancestor,1.0,1,1
ABalppappap,neuron,0,exact,1.0,1,3
ABalppappp,neuron,0,consensus,1.0,2,233
ABalppapppa,neuron,0,consensus,1.0,1,10
ABalppapppaa,neuron,0,exact,1.0,1,1
ABalppapppap,neuron,0,ancestor,1.0,1,1
ABalppapppapa,neuron,0,ancestor,1.0,1,1
ABalppapppapp,neuron,0,ancestor,1.0,1,1
ABalppapppappa,neuron,0,ancestor,1.0,1,1
ABalppapppappp,neuron,0,ancestor,1.0,1,1
ABalppapppp,neuron,0,exact,1.0,1,10
ABalppappppa,neuron,0,ancestor,1.0,1,1
ABalppappppp,neuron,0,ancestor,1.0,1,1
ABalppp,neuron,0,consensus,0.692,13,258
ABalpppa,mixed,11,consensus,0.5,6,258
ABalpppaa,glia,5,consensus,0.667,3,257
ABalpppaaa,mixed,11,consensus,0.5,2,232
ABalpppaaaa,neuron,0,exact,1.0,1,1
ABalpppaaap,glia,5,exact,1.0,1,1
ABalpppaap,glia,5,consensus,1.0,1,232
ABalpppaapd,glia,5,exact,1.0,1,2
ABalpppaapv,glia,5,ancestor,1.0,1,2
ABalpppap,neuron,0,consensus,0.667,3,257
ABalpppapa,mixed,11,consensus,0.5,2,232
ABalpppapad,neuron,0,exact,1.0,1,2
ABalpppapav,glia,5,exact,1.0,1,2
ABalpppapp,neuron,0,consensus,1.0,1,232
ABalpppappa,neuron,0,ancestor,1.0,1,7
ABalpppappp,neuron,0,consensus,1.0,1,7
ABalpppp,neuron,0,consensus,0.857,7,258
ABalppppa,neuron,0,consensus,1.0,2,257
ABalppppaa,neuron,0,consensus,1.0,1,233
ABalppppaad,neuron,0,exact,1.0,1,3
ABalppppaav,neuron,0,ancestor,1.0,1,3
ABalppppap,neuron,0,consensus,1.0,1,233
ABalppppapa,neuron,0,consensus,1.0,1,5
ABalppppapaa,neuron,0,exact,1.0,1,1
ABalppppapap,neuron,0,ancestor,1.0,1,1
ABalppppapapa,neuron,0,ancestor,1.0,1,1
ABalppppapapaa,neuron,0,ancestor,1.0,1,1
ABalppppapapap,neuron,0,ancestor,1.0,1,1
ABalppppapapp,neuron,0,ancestor,1.0,1,1
ABalppppapp,neuron,0,ancestor,1.0,1,5
ABalppppp,neuron,0,consensus,0.8,5,257
ABalpppppa,mixed,11,consensus,0.5,2,235
ABalpppppaa,neuron,0,exact,1.0,1,7
ABalpppppap,glia,5,exact,1.0,1,7
ABalpppppp,neuron,0,consensus,1.0,3,235
ABalppppppa,neuron,0,consensus,1.0,1,45
ABalppppppaa,neuron,0,exact,1.0,1,1
ABalppppppaaa,neuron,0,ancestor,1.0,1,1
ABalppppppaaaa,neuron,0,ancestor,1.0,1,1
ABalppppppaaap,neuron,0,ancestor,1.0,1,1
ABalppppppaap,neuron,0,ancestor,1.0,1,1
ABalppppppaapa,neuron,0,ancestor,1.0,1,1
ABalppppppaapp,neuron,0,ancestor,1.0,1,1
ABalppppppap,neuron,0,ancestor,1.0,1,1
ABalppppppp,neuron,0,consensus,1.0,2,45
ABalpppppppa,neuron,0,exact,1.0,1,1
ABalpppppppp,neuron,0,exact,1.0,1,1
ABalppppppppa,neuron,0,ancestor,1.0,1,1
ABalppppppppp,neuron,0,ancestor,1.0,1,1
ABar,mixed,11,consensus,0.446,92,259
ABara,pharynx,3,consensus,0.745,55,258
ABaraa,pharynx,3,consensus,0.966,29,258
ABaraaa,pharynx,3,consensus,0.923,13,258
ABaraaaa,pharynx,3,consensus,1.0,5,258
ABaraaaaa,pharynx,3,consensus,1.0,4,256
ABaraaaaaa,pharynx,3,consensus,1.0,2,232
ABaraaaaaaa,pharynx,3,exact,1.0,1,2
ABaraaaaaaaa,pharynx,3,ancestor,1.0,1,1
ABaraaaaaaap,pharynx,3,ancestor,1.0,1,1
ABaraaaaaaapa,pharynx,3,ancestor,1.0,1,1
ABaraaaaaaapp,pharynx,3,ancestor,1.0,1,1
ABaraaaaaaappa,pharynx,3,ancestor,1.0,1,1
ABaraaaaaaappp,pharynx,3,ancestor,1.0,1,1
ABaraaaaaaapppa,pharynx,3,ancestor,1.0,1,1
ABaraaaaaaapppp,pharynx,3,ancestor,1.0,1,1
ABaraaaaaaappppa,pharynx,3,ancestor,1.0,1,1
ABaraaaaaaappppp,pharynx,3,ancestor,1.0,1,1
ABaraaaaaaapppppa,pharynx,3,ancestor,1.0,1,1
ABaraaaaaaapppppaa,pharynx,3,ancestor,1.0,1,1
ABaraaaaaaapppppaaa,pharynx,3,ancestor,1.0,1,1
ABaraaaaaaapppppaap,pharynx,3,ancestor,1.0,1,1
ABaraaaaaaapppppap,pharynx,3,ancestor,1.0,1,1
ABaraaaaaaapppppp,pharynx,3,ancestor,1.0,1,1
ABaraaaaaap,pharynx,3,exact,1.0,1,2
ABaraaaaap,pharynx,3,consensus,1.0,2,232
ABaraaaaapa,pharynx,3,exact,1.0,1,1
