x,y,z,min_size,max_size,cell,mother
-34.93872150480099,7.958452134586649,1.1591153246424435,34.0,79.0,ABara,ABar
-65.9203867929179,-4.288583983417212,1.7126168410471854,31.0,73.0,ABaraa,ABara
-82.3050322726338,-1.2082902552361594,1.1195537617165008,37.0,66.0,ABaraaa,ABaraa
-94.16864250545933,-10.205882954287613,1.4064573259590996,34.0,55.0,ABaraaaa,ABaraaa
-116.25609014827192,-2.329546175034426,1.4969093801432185,26.0,47.0,ABaraaaaa,ABaraaaa
-100.26577236864054,-15.287047442554828,1.313217052321555,26.0,39.0,ABaraaaaaa,ABaraaaaa
-85.02607199410873,-1.2570848957383505,1.13419083509309,26.0,39.0,ABaraaaaap,ABaraaaaa
-96.7691252135126,-2.33966131593167,1.5045534805886158,26.0,47.0,ABaraaaap,ABaraaaa
-89.32106597484709,-1.9169798930631228,1.32380426473461,26.0,38.0,ABaraaaapa,ABaraaaap
-81.95053026056137,-4.251801321634551,0.6322864075917527,26.0,38.0,ABaraaaapp,ABaraaaap
-59.22032839720733,-0.837981445858153,1.0241924634923738,33.0,55.0,ABaraaap,ABaraaa
-85.15276805441307,7.958370468600531,1.3130312086767435,26.0,49.0,ABaraaapa,ABaraaap
-86.21517311770424,-4.347515607348837,0.6417685504488947,26.0,45.0,ABaraaapaa,ABaraaapa
-72.85177210247579,-1.2551552012574658,0.46288149461133166,26.0,45.0,ABaraaapap,ABaraaapa
-64.99464900868954,14.777211855963536,1.4284126804279307,28.0,48.0,ABaraaapp,ABaraaap
-59.21687123091176,13.977421499569404,1.086169493845122,26.0,41.0,ABaraaappa,ABaraaapp
-43.493600790660196,20.901949801456198,1.0622701227759397,26.0,41.0,ABaraaappp,ABaraaapp
-54.140007066043694,-17.370080182994595,1.7365941962053526,39.0,63.0,ABaraap,ABaraa
-74.47986699525524,-17.95624738577449,1.877266363859974,34.0,56.0,ABaraapa,ABaraap
-91.66471334758928,-20.211366182061482,1.1644323435523436,26.0,49.0,ABaraapaa,ABaraapa
-91.01790039043149,-21.455129243712474,0.9785526413579859,26.0,41.0,ABaraapaaa,ABaraapaa
-71.70813608066719,-21.633313328146556,0.30022367865402366,26.0,45.0,ABaraapaap,ABaraapaa
-66.26449678920181,-14.219278892372992,0.9601828016566243,28.0,49.0,ABaraapap,ABaraapa
-56.75857794344149,-27.4058131944802,0.24976653972503476,26.0,42.0,ABaraapapa,ABaraapap
-37.383242822798046,-21.145759575177255,-0.36283399646799464,26.0,42.0,ABaraapapp,ABaraapap
-35.61712433721641,-17.08934487564152,2.053420989473285,34.0,56.0,ABaraapp,ABaraap
-59.665808038339144,-11.375100641362442,1.1189573259591,26.0,52.0,ABaraappa,ABaraapp
-81.09974375482332,-4.422210898207562,-0.2506961309915478,26.0,41.0,ABaraappaa,ABaraappa
-61.46539472435243,-4.990077934218642,0.19639528175083423,26.0,45.0,ABaraappap,ABaraappa
-31.16048634276222,-9.951958762801274,1.2736426803792893,26.0,49.0,ABaraappp,ABaraapp
-44.373899404967084,-3.248558967782441,0.5373302035654263,24.0,45.0,ABaraapppa,ABaraappp
-25.0497553279468,-0.6968821841682443,0.4278136986968738,26.0,43.0,ABaraapppp,ABaraappp
-13.258216595965084,7.735310479607688,0.9381055069706343,33.0,73.0,ABarap,ABara
-37.773846952829665,13.288201238529302,0.14191102356717444,32.0,65.0,ABarapa,ABarap
-42.18994055956468,11.543879741488372,0.8836464574256397,31.0,55.0,ABarapaa,ABarapa
-69.19496391268328,-4.502473766344651,1.4519348684405267,26.0,48.0,ABarapaaa,ABarapaa
-60.45569943349369,-11.721726133664626,1.636492234659422,26.0,40.0,ABarapaaaa,ABarapaaa
-45.353725749283164,-4.106594554717258,1.9822159188699484,26.0,42.0,ABarapaaap,ABarapaaa
-51.37826664288408,0.6918009394137532,1.683769149969279,26.0,48.0,ABarapaap,ABarapaa
-55.35887174784122,-6.093337525157056,0.9621555367502651,24.0,43.0,ABarapaapa,ABarapaap
-38.47120051496449,-2.2248443744721245,1.2040733449694434,26.0,45.0,ABarapaapp,ABarapaap
-10.329300101831198,9.268436773603545,1.1063042647346095,34.0,57.0,ABarapap,ABarapa
-34.11383671217426,2.993014346568214,1.7950600251032733,26.0,49.0,ABarapapa,ABarapap
-37.88840919197477,-7.517290143157855,1.5582254470006192,24.0,43.0,ABarapapaa,ABarapapa
-21.315464894892543,-9.631348498595521,1.6486763753825824,24.0,45.0,ABarapapap,ABarapapa
-10.90306785454632,-1.7170268855443236,1.6750260692458872,26.0,49.0,ABarapapp,ABarapap
-26.08497894294694,-1.854263180164371,1.5836690358857888,26.0,45.0,ABarapappa,ABarapapp
-4.412660802433278,-4.055372750205978,1.2353190430597327,26.0,45.0,ABarapappp,ABarapapp
3.6534033947513036,-0.6100245041459896,1.0627658814097491,33.0,65.0,ABarapp,ABarap
5.781437526553489,14.30597178760915,0.8535311554909123,30.0,56.0,ABarappa,ABarapp
-28.95975645103755,14.160401059317833,1.362226883782229,26.0,51.0,ABarappaa,ABarappa
-24.24691527798296,12.84009763306928,1.649718898880952,24.0,38.0,ABarappaaa,ABarappaa
-10.908936183906306,5.411526204497853,1.2936213379053414,24.0,38.0,ABarappaap,ABarappaa
-0.9181221199215077,14.038703904846288,1.3955218763912451,26.0,47.0,ABarappap,ABarappa
-8.485679446818137,25.38178819011952,1.434993233993199,24.0,42.0,ABarappapa,ABarappap
