Parent Cell,parent_x,parent_y,parent_z,Daughter 1,Daughter 2,Birth Time
Epra,417.7102514,261.9990109875,14.8228023525,int6R,int4D,235
Eprp,458.2698896625,259.62531865,15.01597956,Eprpp,int7R,245
MSaaa,259.524896675,241.6598735,14.92934753875,MSaaap,MSaaaa,145
MSaap,312.1924971625,236.84831455,14.622213765,MSaapa,MSaapp,145
MSapa,323.4585615375,230.130234825,14.919577385,MSapap,MSapaa,150
MSapp,365.7352499875,229.8028175375,15.06906041875,MSappa,MSappp,150
MSpaa,320.3938388,249.52557385,14.5164197925,MSpaaa,MSpaap,150
MSpap,371.519931075,239.5351075,14.5626457275,MSpapp,MSpapa,150
MSppa,396.05248445,255.7733215125,14.5488072575,MSppap,MSppaa,155
MSppp,430.4009324625,245.639545,14.71864641375,MSpppp,MSpppa,155
ABalaaaa,0,0,0,ABalaaaar,ABalaaaal,175
ABalaaap,0,0,0,ABalaaapp,ABalaaapa,170
ABalaapa,232.007842771429,260.4625051,14.7866231557143,ABalaapaa,ABalaapap,175
ABalaapp,270.509678228571,261.562959657143,14.7994507657143,ABalaappa,ABalaappp,170
ABalapaa,216.6417442,260.91514075,15.39571739625,ABalapaaa,ABalapaap,170
ABalapap,246.783036725,265.7180242625,15.55528159125,ABalapapp,ABalapapa,160
ABalappa,252.769303975,263.4639287375,15.168961145,ABalappaa,ABalappap,170
ABalappp,295.1480544875,261.1899236,15.0748818475,ABalapppa,ABalapppp,160
ABalpaaa,198.2988862,248.684100525,14.8887276625,ABalpaaaa,ABalpaaap,175
ABalpaap,216.605691525,243.896963325,15.329843355,ABalpaapp,ABalpaapa,165
ABalpapa,217.2526570125,237.4380341,15.14316014875,ABalpapaa,ABalpapap,165
ABalpapp,260.828805375,233.1001325375,15.1209081075,ABalpappa,ABalpappp,165
ABalppaa,218.3754602875,236.9113593375,15.664753975,ABalppaap,ABalppaaa,163
ABalppap,250.56230335,234.3937964375,15.6673671925,ABalppapp,ABalppapa,153
ABalpppa,264.4252732875,240.2717943625,15.466516485,ABalpppap,ABalpppaa,165
ABalpppp,303.862777325,237.6834842,15.2210421925,ABalppppa,ABalppppp,148
ABaraaaa,220.0746358875,260.6076648375,14.7112121325,ABaraaaap,ABaraaaaa,180
ABaraaap,254.685285,266.7712897875,14.77358912375,ABaraaapa,ABaraaapp,175
ABaraapa,251.4049227125,256.475587525,14.75823704,ABaraapaa,ABaraapap,175
ABaraapp,295.833210325,254.3032854625,14.68310168625,ABaraappp,ABaraappa,175
ABarapaa,275.5930916625,269.8340464375,14.6432871325,ABarapaaa,ABarapaap,180
ABarapap,314.566079875,267.9069376125,14.6334090375,ABarapapp,ABarapapa,175
ABarappa,332.59227335,270.0779785375,14.61040354375,ABarappaa,ABarappap,175
ABarappp,363.0155834125,267.7331359,14.51092847625,ABarapppa,ABarapppp,175
ABarpaaa,251.4283959375,273.9600642,15.1696798075,ABarpaaap,ABarpaaaa,180
ABarpaap,289.5477937875,275.30040155,15.3313288025,ABarpaapp,ABarpaapa,170
ABarpapa,291.4194319625,272.222811175,15.02101254875,ABarpapap,ABarpapaa,175
ABarpapp,335.070554125,271.6721456875,15.05003199,ABarpappa,ABarpappp,175
ABarppaa,322.8081368875,271.82596475,15.51651125875,ABarppaap,ABarppaaa,187
ABarppap,361.2234757875,264.9716453,15.35982690375,ABarppapp,ABarppapa,180
ABarpppa,371.6029381125,273.3332337375,15.2501481325,ABarpppaa,ABarpppap,187
ABarpppp,415.4451006375,269.242258525,15.2429511575,ABarppppp,ABarppppa,180
ABplaaaa,222.8310957375,256.231333725,15.83384069125,ABplaaaaa,ABplaaaap,170
ABplaaap,265.7132320625,259.1430499625,15.76765557625,ABplaaapa,ABplaaapp,170
ABplaapa,250.270460775,245.14303625,15.91986544,ABplaapaa,ABplaapap,170
ABplaapp,297.15491685,244.1556152375,15.54325770875,ABplaappa,ABplaappp,170
ABplapaa,297.207555225,258.170270525,15.61370347625,ABplapaaa,ABplapaap,175
ABplapap,337.23826315,256.05576955,15.431010805,ABplapapa,ABplapapp,170
ABplappa,341.7497561,243.356487425,15.49504072375,ABplappaa,ABplappap,170
ABplappp,389.4516323625,240.523742775,15.70356444125,ABplapppp,ABplapppa,175
ABplpaaa,268.0258883,229.60323555,15.85382651125,ABplpaaap,ABplpaaaa,180
ABplpaap,303.7640945625,230.0749154875,15.90275493125,ABplpaapa,ABplpaapp,175
ABplpapa,313.8273015125,225.9452955375,15.58783495375,ABplpapap,ABplpapaa,170
ABplpapp,358.3766306125,226.01833075,15.43176649625,ABplpappp,ABplpappa,170
ABplppaa,334.9985999,231.2939905125,15.7776406875,ABplppaap,ABplppaaa,175
ABplppap,371.9210455375,232.662761525,15.6490257775,ABplppapa,ABplppapp,175
ABplpppa,391.4513956875,228.4018054375,15.55431284875,ABplpppaa,ABplpppap,170
ABplpppp,423.408082175,230.3263811875,15.815061995,ABplppppp,ABplppppa,170
ABpraaaa,302.3320770125,279.5323647375,14.87795479125,ABpraaaap,ABpraaaaa,170
ABpraaap,336.8476804625,282.134031275,15.0163246025,ABpraaapp,ABpraaapa,165
ABpraapa,361.5723653875,283.07734075,14.86623117875,ABpraapaa,ABpraapap,170
ABpraapp,400.040120675,279.5746374,14.9008463275,ABpraappa,ABpraappp,170
ABprapaa,393.5024833625,281.788400625,15.36924603625,ABprapaap,ABprapaaa,175
ABprapap,437.497527114286,281.358785571429,15.3457970514286,ABprapapp,ABprapapa,170
ABprappa,458.9955095,276.383766675,14.98970269875,ABprappap,ABprappaa,170
ABprappp,487.750385225,268.17881065,15.20960044375,ABprapppp,ABprapppa,175
ABprpaaa,371.8862710625,277.57265765,14.67763995625,ABprpaaap,ABprpaaaa,180
ABprpaap,409.0264757,277.714266675,14.710109855,ABprpaapa,ABprpaapp,175
ABprpapa,413.1438772,270.64072515,14.653198175,ABprpapaa,ABprpapap,165
ABprpapp,448.7854097375,263.7149042625,14.72059524,ABprpappa,ABprpappp,165
ABprppaa,438.6560775375,276.9960083875,14.81984252375,ABprppaaa,ABprppaap,175
ABprppap,467.4324716125,271.350144075,14.83007246375,ABprppapp,ABprppapa,175
ABprpppa,491.7578566875,267.8921514875,14.8652492475,ABprpppaa,ABprpppap,170
ABprpppp,491.89358325,257.4102640875,14.996723575,ABprppppa,ABprppppp,170
Caaaa,443.09971735,252.42628365,15.55064713875,hyp7,hyp7,220
Caaap,485.438481575,248.4232965625,15.6102085025,hyp7,hyp7,222
Caapa,511.020026475,249.72994475,15.31788426625,DVC,Caapap,330
Caapp,508.556925075,246.226209675,15.16942034875,hyp7,PVR,235
Capaa,431.641790375,245.29471785,14.76727542,Capaap,Capaaa,250
Capap,458.4035970125,248.7776301625,14.71539501875,Capapp,Capapa,250
Cappa,471.131243875,241.8961320875,15.11417957,Cappaa,Cappap,240
Cappp,485.9527444375,246.8220968625,14.96876789125,Capppa,Capppp,240
Cpaaa,444.4665050375,265.80457795,15.47470474875,hyp7,hyp7,222
Cpaap,490.1382874,262.9152498,15.45060406625,hyp7,hyp7,220
Cpapa,515.2941892,259.3526321875,15.181369965,hyp7,hyp7,230
Cpapp,517.75479715,252.42200955,15.10576822625,hyp7,hyp11,235
Cppaa,448.6339739,259.3498389875,14.6175363125,Cppaaa,Cppaap,250
Cppap,466.5476277125,254.609152975,14.72715692,Cppapa,Cppapp,250
Cpppa,485.7550787,258.8352979125,14.91365872375,Cpppaa,Cpppap,240
Cpppp,490.967669225,254.6327006125,14.94052622125,Cppppp,Cppppa,240
Daaa,378.959347425,233.61228445,15.066561485,mu bod,mu bod,275
Daap,401.1032942625,235.7406623,14.67618144375,mu bod,mu bod,278
Dapa,396.84832335,231.740153725,14.95318496375,mu bod,mu bod,270
Dapp,426.7361129375,236.923676175,14.8298511575,Dappp,Dappa,265
Dpaa,385.39456055,270.7817293375,14.964586245,mu bod,mu bod,275
Dpap,404.7112368375,264.24365185,14.7457772325,mu bod,mu bod,277
Dppa,401.43053775,277.1328603,15.00429499625,mu bod,mu bod,270
Dppp,431.0704413375,269.5305177125,14.9749151475,Dpppp,Dpppa,265
Ealaa,317.06295415,249.1490537125,15.01746750625,int1DL,int1VL,360
Earaa,322.9341672625,261.8603508,14.86689327125,int1DR,int1VR,360
Eplpp,477.4897414375,250.7863692875,15.04524707125,int8L,int9L,375
MSaaaa,239.7663674375,248.033084975,14.8980927125,MSaaaap,MSaaaaa,180
MSaaap,285.858586585714,246.760897885714,14.5588204257143,MSaaapa,MSaaapp,188
MSaapa,309.80649305,239.43084695,14.530900825,MSaapaa,MSaapap,180
MSaapp,358.463894175,238.25528825,14.52473266,MSaappa,MSaappp,194
MSapaa,291.7738483875,238.4952619375,15.03987952125,MSapaaa,MSapaap,188
MSapap,320.9070892,236.1746555625,14.90680543375,MSapapa,MSapapp,188
MSappa,352.2790228375,237.5039149875,14.74392639,MSappaa,MSappap,194
MSappp,381.87826005,235.5156911,14.9597869225,MSapppa,MSapppp,194
MSpaaa,291.1192282,257.1864421,14.5887024225,MSpaaaa,MSpaaap,185
MSpaap,331.8053217375,252.7093203375,14.44994525625,MSpaapp,MSpaapa,190
MSpapa,355.3575333875,247.549694675,14.43180635125,MSpapap,MSpapaa,185
MSpapp,402.3732035375,245.106216125,14.5338365625,MSpappp,MSpappa,195
MSppaa,334.8434978875,262.8764708125,14.57655840625,MSppaaa,MSppaap,190
MSppap,374.31457385,262.0592886,14.5186719575,MSppapa,MSppapp,190
MSpppa,387.8519284625,256.4474587125,14.4828257125,MSpppap,MSpppaa,195
MSpppp,414.625820325,256.9632383375,14.6537292825,MSppppa,MSppppp,195
ABalaapaa,203.247284214286,262.895024471429,14.7966178071429,ABalaapaap,ABalaapaaa,240
ABalaapap,227.5126367,268.375699457143,14.7646575185714,ABalaapapp,ABalaapapa,240
ABalaappa,223.365347114286,269.337686785714,15.1536514985714,ABalaappaa,ABalaappap,240
ABalaappp,246.583760657143,270.810421642857,15.2679898942857,ABalaapppp,ABalaapppa,220
ABalapaaa,202.573301325,250.3098058625,15.482230275,ABalapaaaa,ABalapaaap,215
ABalapaap,218.4482886875,245.3479069,15.501682965,ABalapaapp,ABalapaapa,215
ABalapapa,231.3168415,252.6477704625,15.68705704375,ABalapapaa,ABalapapap,215
ABalapapp,266.4525521375,250.3583389875,15.4495095875,ABalapappp,ABalapappa,210
ABalappaa,204.942012325,258.7692868875,15.49742025375,ABalappaaa,ABalappaap,240
ABalappap,228.366163975,263.5831401125,15.46353012375,ABalappapp,ABalappapa,215
