Parent,Daughter 1,Daughter 2,Birth Time
ABalaappa,ABalaappaa,ABalaappap,240.0
Eprp,Eprpp,int7R,245.0
Eplp,Eplpp,int7L,245.0
MSpaapa,MSpaapaa,MSpaapap,245.0
Cppaa,Cppaaa,Cppaap,250.0
Capaa,Capaap,Capaaa,250.0
Cppap,Cppapa,Cppapp,250.0
ABalaaaar,ABalaaaarr,ABalaaaarl,250.0
MSapapp,mu bod,mu bod,250.0
MSppapp,mu bod,mu bod,250.0
ABalaaaal,ABalaaaala,ABalaaaalp,250.0
Capap,Capapp,Capapa,250.0
ABaraaaap,ABaraaaapa,ABaraaaapp,250.0
ABalpppppp,ABalppppppp,ABalppppppa,255.0
ABalpapppp,mc1V,m3VL,258.0
MSppppa,mu bod,mu bod,260.0
MSapppa,mu bod,mu bod,260.0
MSapppp,mu bod,mu bod,260.0
MSapaap,M,MSapaapa,260.0
MSppppp,mu bod,mu bod,260.0
MSppaap,mu int R,MSppaapa,260.0
ABpraaappp,ABpraaapppa,ABpraaapppp,260.0
Dapp,Dappp,Dappa,265.0
Dppp,Dpppp,Dpppa,265.0
MSpppaa,MSpppaaa,Z1,265.0
MSappaa,Z4,hmc,265.0
ABarapappp,m3VR,mc2V,265.0
ABplpappaa,exc cell,RMEV,265.0
MSaappp,MSaapppa,MSaapppp,270.0
int5L,int5Lp,int5La,270.0
int3V,int3Vp,int3Va,270.0
MSpppap,mu bod,MSpppapa,270.0
MSpappp,MSpapppa,MSpapppp,270.0
MSappap,MSappapa,mu bod,270.0
ABalpappap,mc3V,e2V,270.0
MSpappa,mu bod,mu bod,270.0
int3D,int3Dp,int3Da,270.0
Dapa,mu bod,mu bod,270.0
Dppa,mu bod,mu bod,270.0
int5R,int5Ra,int5Rp,270.0
int6R,int6Ra,int6Rp,275.0
int6L,int6Lp,int6La,275.0
Dpaa,mu bod,mu bod,275.0
int4V,int4Vp,int4Va,275.0
MSaapaap,MSaapaapa,m7VL,275.0
int4D,int4Da,int4Dp,275.0
ABplpppapa,hyp8,PHshL,275.0
MSpapaap,MSpapaapa,m7VR,275.0
Daaa,mu bod,mu bod,275.0
ABprpppapa,hyp9,PHshR,275.0
Dpap,mu bod,mu bod,277.0
Daap,mu bod,mu bod,278.0
MSpapaaa,m5VR,m4VR,278.0
ABaraapapa,m5L,ABaraapapaa,280.0
ABalapappa,ABalapappaa,IL2DL,280.0
ABarapapap,arc post V,I5,280.0
ABalappppa,IL2DR,ABalappppaa,280.0
ABaraaapap,mc1DR,m4R,280.0
ABalpppppa,ADFL,AWBL,280.0
MSaaaaap,m4DL,MSaaaaapa,280.0
ABplpapppa,rect hyp,K,280.0
ABplppppap,U,F,280.0
MSaaapp,MSaaappa,vpi3D,280.0
MSaapaaa,m5VL,m4VL,280.0
ABalpaapap,mc1DL,m3L,280.0
ABpraaappa,AWBR,ADFR,280.0
ABprppppap,B,DVA,280.0
ABaraapppa,ABaraapppaa,m5R,280.0
ABplpaappp,ABplpaapppp,AIML,280.0
ABplpppaap,PHAL,ABplpppaapa,285.0
int7R,int7Rp,int7Ra,285.0
int7L,int7La,int7Lp,285.0
ABalpapaaa,RIPL,hyp2V,285.0
ABplpapppp,rect D,PVT,285.0
MSaaapaa,m4L,m3DL,285.0
ABalapppap,URYDR,ABalapppapa,285.0
ABalpppapp,ABalpppappa,ABalpppappp,285.0
ABalppappp,IL2VL,ABalppapppa,285.0
MSaaaapa,I4,m5DL,285.0
ABalpapapa,RMDDL,ABalpapapap,285.0
ABalapaapp,ABalapaappa,IL2L,285.0
ABplaapapp,AIBL,ABplaapappp,285.0
ABplapppap,ABplapppapa,ABplapppapp,285.0
ABalaaappr,ILsoR,AVDR,285.0
ABalaaapal,AVDL,ILsoL,285.0
ABalapapap,URYDL,ABalapapapa,285.0
ABalapappp,AVJL,CEPsoDL,290.0
ABprpapppp,virR,virL,290.0
ABprpappap,DB4,RIS,290.0
ABalaapppp,ABalaappppa,IL2R,290.0
ABarappppp,ABarapppppa,IL2VR,290.0
ABaraappap,mc2DR,m2DR,290.0
ABprpapapa,AVKR,exc gl R,290.0
ABprapppap,ABprapppapa,ABprapppapp,290.0
ABprpppaap,PHAR,ABprpppaapa,290.0
ABprpappaa,RIH,AVL,290.0
ABaraapaap,m2DL,mc2DL,290.0
ABarapaapp,MCR,m3R,290.0
ABplaapaap,AMshL,URBL,290.0
ABplpaaaap,DB1,exc duct,290.0
ABalppappa,BAGL,SMDVL,290.0
ABalppppaa,ABalppppaav,ADLL,290.0
ABplpapapa,exc gl L,AVKL,290.0
ABalappppp,CEPsoDR,AVJR,290.0
MSaappa,vpi2V,vpi3V,290.0
ABpraaaapp,ABpraaaappp,ABpraaaappa,290.0
MSaapapp,m6VL,vpi2DL,290.0
ABalappapp,CANR,OLLsoR,290.0
ABalapaaap,CANL,OLLsoL,290.0
MSpaaaap,m4DR,m3DR,290.0
MSpapapp,m6VR,vpi2DR,290.0
ABarappapa,ABarappapap,RMDDR,292.0
ABalppapap,SAADL,ILsoVL,292.0
ABprpaaaap,DB3,G1,293.0
ABprpppppa,mu sph,mu bod,293.0
ABprpppppp,hyp10,tail spike,293.0
ABprppppaa,rect VR,PVPR,293.0
ABprpppaaa,DA7,PDA,293.0
ABalppaaap,AVAL,OLQsoVL,295.0
ABpraapaap,URBR,AMshR,295.0
ABplpaaapp,URYVL,ABplpaaappa,295.0
ABplpaaaaa,SAAVL,AWCL,295.0
ABalpaappp,hyp1DL,hyp2DL,295.0
ABpraaapaa,ADLR,ABpraaapaav,295.0
ABpraapapp,AIBR,ABpraapappp,295.0
ABalpappaa,ABalpappaap,ABalpappaaa,295.0
ABplppppaa,PVPL,rect VL,295.0
ABplpppppa,mu anal,mu int L,295.0
ABplpppppp,tail spike,hyp10,295.0
ABplppapaa,ABplppapaaa,SABD,295.0
ABalaappap,OLQsoVR,AVAR,295.0
ABplpapapp,SIAVL,DB5,295.0
ABplpaappa,ASHL,RIBL,295.0
ABplpppaaa,DA9,DA6,295.0
ABprppapaa,ABprppapaaa,DA1,295.0
ABprpaaapp,URYVR,ABprpaaappa,295.0
ABarappppa,SMDVR,BAGR,295.0
ABarapppaa,RMDVR,ILshVR,295.0
ABalaapapp,ABalaapappa,CEPsoVR,295.0
ABprpaappp,AIMR,ABprpaapppp,295.0
ABaraaapaa,e2DR,arc post DR,295.0
ABplaaaaap,ABplaaaaapp,ABplaaaaapa,295.0
ABarpapaap,ABarpapaapp,ABarpapaapa,295.0
ABalaaapar,ILshDL,ABalaaaparl,295.0
ABalaaappl,ABalaaapplr,ILshDR,295.0
ABarapppap,SAADR,ILsoVR,295.0
ABprpapppa,AVG,RIR,295.0
ABprppaaaa,SIBDR,ABprppaaaap,297.0
ABprpapapp,SIAVR,DA8,297.0
ABprpaaaaa,AWCR,SAAVR,297.0
ABplppaaaa,ABplppaaaap,SIBDL,298.0
ABalpaapaa,e2DL,arc post DL,300.0
ABalppapaa,RMDVL,ILshVL,300.0
ABarappapp,SMBVR,DB2,300.0
ABaraapaaa,m1DL,e3D,300.0
ABprpaappa,RIBR,ASHR,300.0
ABaraaappp,hyp1DR,arc ant DR,300.0
ABprapappp,ABprapapppa,ABprapapppp,300.0
ABprpaapaa,AVBR,RIVR,300.0
ABprpapaap,SIBVR,SIADR,300.0
MSpaaapp,m6D,m5DR,300.0
ABplpapaap,SIADL,SIBVL,300.0
ABpraaapap,ABpraaapapp,ABpraaapapa,300.0
ABalppppap,ABalppppapp,ABalppppapa,300.0
MSaaaapp,MSaaaappa,m7D,300.0
MSaaapap,mc3DL,m8,300.0
ABprpaapap,AMsoR,CEMVR,303.0
ABalapppaa,ALA,RMED,303.0
ABalpapapp,SMBVL,ABalpapappa,305.0
ABplppaapp,AIAL,DB6,305.0
ABalpppapa,RMDL,AFDL,305.0
ABplpapaaa,AIYL,SMDDL,305.0
ABpraapaaa,ILsoDR,hyp3,305.0
MSpaapap,vpi1,mc3DR,305.0
ABplpaapaa,AVBL,RIVL,305.0
ABpraaaapa,RMDR,AFDR,305.0
ABalpaappa,arc post VL,arc ant DL,305.0
ABaraaappa,arc post D,arc post VR,305.0
ABprpapaaa,SMDDR,AIYR,305.0
ABprppaapp,AIAR,DB7,305.0
ABalppaapp,CEPsoVL,ABalppaappa,305.0
ABplpaaapa,URAVL,CEPshVL,305.0
ABplapappp,ABplapapppp,ABplapapppa,305.0
ABaraappaa,MI,m1DR,305.0
ABarappaaa,ABarappaaap,RIPR,305.0
ABprapaaap,ABprapaaapa,RMGR,305.0
ABplapaaap,ABplapaaapa,RMGL,306.0
ABplapaaaa,ABplapaaaap,ABplapaaaaa,307.0
ABprppappa,RIGR,DD2,307.0
ABplppappa,DD1,RIGL,308.0
ABarapapaa,ABarapapaap,ABarapapaaa,308.0
ABplaapaaa,ILsoDL,hyp3,310.0
ABplapppaa,PVQL,ABplapppaap,310.0
ABalpapaap,ABalpapaapp,arc ant V,310.0
ABplppaapa,ABplppaapaa,RIML,310.0
ABpraapapa,AWAR,ASGR,310.0
ABplpaapap,AMsoL,CEMVL,310.0
ABalaaaarl,ABalaaaarla,RMEL,310.0
Cappaa,mu bod,mu bod,310.0
Cpppaa,mu bod,mu bod,310.0
ABprpaaapa,URAVR,CEPshVR,310.0
ABplaapapa,AWAL,ASGL,310.0
ABalaapppa,RIAR,ABalaapppap,310.0
ABarapppppa,IL1VR,ABarapppppap,310.0
ABalaaaarr,RMER,ABalaaaarra,310.0
ABprapaaaa,ABprapaaaaa,ABprapaaaap,310.0
ABpraaaaaa,AVER,OLQshVR,315.0
ABalpppaaa,AVEL,OLQshVL,315.0
ABarpaaapa,CEPshDR,OLQshDR,315.0
ABprppapap,DA5,DA3,315.0
ABprppaapa,RIMR,ABprppaapaa,315.0
ABarappaap,hyp1V,ABarappaapp,315.0
ABprapppaa,PVQR,ABprapppaap,315.0
ABplppapap,DA4,DA2,315.0
ABalapaapa,RIAL,ABalapaapap,317.0
ABalaaaalp,ABalaaaalpa,ILshL,317.0
ABalaapaap,ABalaapaapa,ILshR,317.0
ABalpapppa,ABalpapppap,I1L,318.0
ABarapappa,ABarapappap,I1R,318.0
ABarapaaaa,e3VR,m2VR,318.0
ABarpaaaaa,OLQsoDL,OLQsoDR,320.0
ABplppappp,DD3,DD5,320.0
ABarpapaaa,URADR,CEMDR,320.0
ABprppappp,DD6,DD4,320.0
ABalpppaap,OLLshL,ABalpppaapv,320.0
MSpaaapa,M5,I6,320.0
ABaraapppp,M3R,M2R,320.0
ABarapaaap,m1VR,ABarapaaapp,320.0
ABplaaaaaa,CEMDL,URADL,320.0
ABarpaaaap,CEPshDL,OLQshDL,320.0
ABalpaaaap,m1VL,ABalpaaaapp,320.0
ABalpaaaaa,m2VL,e3VL,320.0
Cpppap,mu bod,mu bod,322.0
Capppa,mu bod,mu bod,322.0
Cppppa,mu bod,mu bod,322.0
Capaaa,mu bod,mu bod,322.0
Cappap,mu bod,mu bod,322.0
Cppaaa,mu bod,mu bod,322.0
ABalappapa,ABalappapap,AVHR,325.0
ABaraapapp,M2L,M3L,325.0
Cppapa,mu bod,mu bod,325.0
ABaraaaaaa,e1VL,m1L,325.0
ABalaaaala,ABalaaaalar,AINL,325.0
ABalaapaaa,ABalaapaaal,AINR,325.0
MSpaapaa,MSpaapaap,M1,325.0
ABaraaaapa,e1D,ABaraaaapaa,325.0
Capapa,mu bod,mu bod,325.0
ABpraaaaap,OLLshR,ABpraaaaapv,325.0
MSpaaaaa,MSpaaaaap,M4,330.0
ABplpppaapa,PVCL,LUAL,330.0
ABaraaaaap,e1VR,m1R,330.0
Cppppp,mu bod,mu bod,330.0
Cppapp,mu bod,mu bod,330.0
Caapa,DVC,Caapap,330.0
Capppp,mu bod,mu bod,330.0
Capapp,mu bod,mu bod,330.0
Capaap,mu bod,mu bod,330.0
Cppaap,mu bod,mu bod,330.0
ABalapaaaa,AVHL,ABalapaaaap,335.0
ABalpaaapp,MCL,ABalpaaappa,337.0
MSaapppa,mu bod,mu bod,340.0
ABalappaap,ABalappaapp,RID,340.0
ABarapaapa,m2R,ABarapaapap,340.0
Dappa,mu bod,mu bod,340.0
Dpppa,mu bod,mu bod,340.0
ABalppppppa,ABalppppppap,ASEL,342.0
ABalppppppp,AUAL,ASJL,342.0
ABalpaaapa,m2L,ABalpaaapap,342.0
MSpapppa,mu bod,mu bod,345.0
ABpraaapppa,ASER,ABpraaapppap,350.0
MSaaaaapa,I3,g1P,350.0
MSaapapa,g2L,MSaapapap,350.0
ABpraaapppp,AUAR,ASJR,350.0
MSaaaaaa,GLRDL,GLRDR,350.0
MSpapapa,MSpapapap,g2R,355.0
Dappp,mu bod,mu bod,360.0
Dpppp,mu bod,mu bod,360.0
Earaa,int1DR,int1VR,360.0
Ealaa,int1DL,int1VL,360.0
MSpapppp,mu bod,mu bod,365.0
MSppaaaa,GLRVR,GLRR,370.0
MSaapppp,mu bod,mu bod,370.0
MSapaaaa,GLRVL,GLRL,370.0
Eprpp,int8R,int9R,375.0
Eplpp,int8L,int9L,375.0
ABalpppappp,ASKL,ABalpppapppp,375.0
MSaapaapa,g1AL,MSaapaapap,380.0
MSpapaapa,g1AR,MSpapaapap,380.0
ABarpapaapp,URXR,CEPDR,380.0
ABplaaaaapp,URXL,CEPDL,380.0
ABpraaaappp,ABpraaaapppp,ASKR,385.0
ABarapapaap,I2R,ABarapapaapp,385.0
ABalpappaap,ABalpappaapp,I2L,385.0
ABalapappaa,IL1DL,ABalapappaap,390.0
ABalpapapap,SMBDL,ABalpapapapa,390.0
ABalappppaa,IL1DR,ABalappppaap,390.0
ABpraapappp,ABpraapapppp,ASIR,395.0
ABprapapppp,ABprapappppa,ABprapappppp,395.0
ABalapaappa,IL1L,ABalapaappap,397.0
ABplaapappp,ABplaapapppp,ASIL,400.0
ABalapppapa,OLQDR,ABalapppapap,400.0
ABplapapppp,ABplapappppa,ABplapappppp,400.0
ABalapapapa,OLQDL,ABalapapapap,400.0
ABplpaapppp,ABplpaappppp,CEPVL,400.0
ABpraaapapa,OLLR,ABpraaapapap,405.0
ABplapppapp,PHBL,HSNL,405.0
ABprapppapp,PHBR,HSNR,405.0
ABarappapap,SMBDR,ABarappapapa,405.0
ABprpaaappa,ABprpaaappap,OLQVR,408.0
ABprpaapppp,CEPVR,ABprpaappppp,408.0
ABplppaaaap,ABplppaaaapa,RICL,408.0
ABalppapppa,IL1VL,ABalppapppap,410.0
ABalaappppa,IL1R,ABalaappppap,410.0
ABalppppapa,ABalppppapap,OLLL,410.0
ABprppaaaap,RICR,ABprppaaaapa,415.0
ABplppapaaa,SABVL,RIFL,415.0
ABplpaaappa,ABplpaaappap,OLQVL,415.0
ABaraapapaa,NSML,ABaraapapaad,415.0
ABaraapppaa,NSMR,ABaraapppaad,415.0
ABprppapaaa,SABVR,RIFR,415.0
int8L,int8La,int8Lp,415.0
int9R,int9Rp,int9Ra,415.0
int9L,int9Lp,int9La,415.0
int8R,int8Rp,int8Ra,415.0
ABprapaaaap,ADAR,ADER,425.0
ABprapaaapa,AIZR,FLPR,425.0
ABplapaaapa,AIZL,FLPL,425.0
ABplapaaaap,ADAL,ADEL,425.0
ABarpppapp,BDUR,ALMR,435.0
ABarppaapp,BDUL,ALML,435.0
ABprpppaapa,PVCR,LUAR,435.0
MSppapaa,ccAR,ccPR,440.0
MSapapaa,ccAL,ccPL,440.0
ABprapappppa,ALNR,PLMR,475.0
ABplapappppa,PLML,ALNL,485.0
ABprapapaa,QR,V5R,730.0
ABplapapaa,QL,V5L,735.0
QR,QRp,QRa,980.0
QL,QLp,QLa,980.0
V2R,hyp7,V2Rp,1100.0
V2L,hyp7,V2Lp,1100.0
V1R,hyp7,V1Rp,1100.0
V4R,V4Rp,hyp7,1100.0
V3L,hyp7,V3Lp,1100.0
V5L,hyp7,V5Lp,1100.0
V3R,hyp7,V3Rp,1100.0
V1L,V1Lp,hyp7,1100.0
V4L,V4Lp,hyp7,1100.0
V5R,hyp7,V5Rp,1100.0
V6L,V6Lp,hyp7,1106.0
V6R,V6Rp,hyp7,1106.0
TR,TRa,TRp,1112.0
TL,TLa,TLp,1112.0
QLp,QLpp,QLpa,1160.0
QRp,QRpp,QRpa,1160.0
QRa,AQR,QRaa,1160.0
QLa,QLaa,PQR,1160.0
M,Mv,Md,1190.0
H2R,H2Rp,H2Ra,1220.0
TLa,hyp7,TLap,1220.0
W,Wa,Wp,1220.0
H2L,H2Lp,H2La,1220.0
TRa,TRap,hyp7,1220.0
TRp,TRpp,TRpa,1226.0
TLp,TLpa,TLpp,1226.0
H1L,H1La,hyp7,1250.0
H1R,hyp7,H1Ra,1250.0
QLpa,SDQL,PVM,1280.0
Z1,Z1p,Z1a,1280.0
QRpa,AVM,SDQR,1280.0
Mv,Mvl,Mvr,1280.0
Z4,Z4a,Z4p,1310.0
Md,Mdr,Mdl,1310.0
P6,P6p,P6a,1340.0
TLpp,TLppp,PVWL,1340.0
TRpp,PVWR,TRppp,1340.0
H2La,hyp7,ADEsoL,1340.0
P5,P5p,P5a,1340.0
H2Ra,ADEsoR,hyp7,1340.0
Wp,VA1,VD1,1346.0
TRpa,PHso1R,PHso2R,1346.0
Wa,Wap,Waa,1346.0
TLpa,PHso1L,PHso2L,1346.0
P8,P8p,P8a,1370.0
P10,hyp7,P10a,1370.0
P7,P7a,P7p,1370.0
P9,P9a,hyp7,1370.0
P1a,P1aa,P1ap,1370.0
Mvl,Mvlp,Mvla,1400.0
P2a,P2aa,P2ap,1400.0
Mvr,Mvra,Mvrp,1400.0
P12,P12a,P12p,1430.0
P11,hyp7,P11a,1430.0
Z1a,gon herm dtc a,Z1ap,1430.0
P6a,P6ap,P6aa,1430.0
Z1p,Z1pp,Z1pa,1430.0
Mdl,Mdlp,Mdla,1430.0
Mdr,Mdrp,Mdra,1430.0
P3a,P3ap,P3aa,1430.0
P4a,P4ap,P4aa,1430.0
P5a,P5ap,P5aa,1430.0
Z4p,Z4pa,gon herm dtc B,1460.0
P1aa,P1aap,P1aaa,1460.0
Z4a,Z4aa,Z4ap,1460.0
TLppp,TLpppa,TLpppp,1460.0
TRppp,TRpppp,TRpppa,1460.0
P10a,P10ap,P10aa,1490.0
P7a,P7aa,P7ap,1490.0
P9a,P9ap,P9aa,1490.0
P8a,P8ap,P8aa,1490.0
P1ap,AS1,VD2,1490.0
Waa,AVFR,VB2,1490.0
P2aa,P2aap,P2aaa,1490.0
G1,RMHL,RMHR,1490.0
K,rect hyp,DVB,1520.0
P12a,P12ap,P12aa,1520.0
TRpppa,PLNR,PHCR,1520.0
P6aa,P6aaa,VC4,1520.0
